zone,valid_pt,t2m_c,ssrd_wm2,wind100,Date
NP15,2025-04-02 00:00:00,1.4996661125171613,0.0,2.0764860326772143,2025-04-02
NP15,2025-04-02 01:00:00,1.2073616325337753,0.0,2.4319945455190104,2025-04-02
NP15,2025-04-02 02:00:00,0.802175620675257,0.0,2.674553924603244,2025-04-02
NP15,2025-04-02 03:00:00,0.4779090368075458,0.0,2.7678051322699817,2025-04-02
NP15,2025-04-02 04:00:00,0.1215805402582077,0.0,2.801641544983724,2025-04-02
NP15,2025-04-02 05:00:00,-0.2652705955196097,0.0,2.769668347133436,2025-04-02
NP15,2025-04-02 06:00:00,-0.635377142055404,0.0,2.647545233145451,2025-04-02
NP15,2025-04-02 07:00:00,-0.903301659796341,0.618371570763799,2.6202194291913266,2025-04-02
NP15,2025-04-02 08:00:00,0.955684878021316,74.18512244014276,2.550122524954167,2025-04-02
NP15,2025-04-02 09:00:00,3.7109255827501775,251.9270436291453,2.166579630093584,2025-04-02
NP15,2025-04-02 10:00:00,5.559556403345255,454.56280040299936,2.263680620862569,2025-04-02
NP15,2025-04-02 11:00:00,7.122739608337554,632.9769492387078,2.607660741119031,2025-04-02
NP15,2025-04-02 12:00:00,8.396312061889319,760.2453453752202,2.89726028369984,2025-04-02
NP15,2025-04-02 13:00:00,9.325836936917312,827.3260078696151,3.1606826144186044,2025-04-02
NP15,2025-04-02 14:00:00,9.977183603752508,836.3498204977541,3.2997132701021554,2025-04-02
NP15,2025-04-02 15:00:00,10.304494355940562,777.4948625181263,3.2085971873334134,2025-04-02
NP15,2025-04-02 16:00:00,10.325758065731293,671.5852670057956,3.067973515494585,2025-04-02
NP15,2025-04-02 17:00:00,10.40755837414764,509.34238931317606,3.0710456828774064,2025-04-02
NP15,2025-04-02 18:00:00,9.655316943346293,330.0808443969581,2.5347308950296243,2025-04-02
NP15,2025-04-02 19:00:00,7.542709285346802,141.4442051932609,1.9354435193817257,2025-04-02
NP15,2025-04-02 20:00:00,5.155555336815098,11.167099137741866,1.8063386721453625,2025-04-02
NP15,2025-04-02 21:00:00,3.686555841056702,0.0,1.693404871172606,2025-04-02
NP15,2025-04-02 22:00:00,2.365332867667064,0.0,1.5141607456315802,2025-04-02
NP15,2025-04-02 23:00:00,1.4053301255849533,0.0,1.3590464320358455,2025-04-02
NP15,2025-04-03 00:00:00,0.7639837558746194,0.0,1.3292015703153257,2025-04-03
NP15,2025-04-03 01:00:00,0.2881310934504881,0.0,1.396520165915163,2025-04-03
NP15,2025-04-03 02:00:00,-0.156195485476644,0.0,1.4947711580890897,2025-04-03
NP15,2025-04-03 03:00:00,-0.52986412151904,0.0,1.5683587119836242,2025-04-03
NP15,2025-04-03 04:00:00,-0.887189739793655,0.0,1.6400562718849714,2025-04-03
NP15,2025-04-03 05:00:00,-1.2114464699935183,0.0,1.7407902867734235,2025-04-03
NP15,2025-04-03 06:00:00,-1.5442968723683066,0.004802463227469,1.7320536380868818,2025-04-03
NP15,2025-04-03 07:00:00,-1.740002886432194,1.018808270537605,1.729179705278151,2025-04-03
NP15,2025-04-03 08:00:00,0.8686494871088257,88.94710751427854,1.6926965139281318,2025-04-03
NP15,2025-04-03 09:00:00,4.7717046463369,285.47968233118456,1.470326164642693,2025-04-03
NP15,2025-04-03 10:00:00,7.092824507948535,495.071526797717,1.211008193451545,2025-04-03
NP15,2025-04-03 11:00:00,8.809503389411304,674.0915764201774,1.4379504971920534,2025-04-03
NP15,2025-04-03 12:00:00,10.156634996838704,805.731209900135,1.6229962559962974,2025-04-03
NP15,2025-04-03 13:00:00,11.119827037305528,861.990008419092,1.855914158262012,2025-04-03
NP15,2025-04-03 14:00:00,11.812335495894729,849.834973988709,2.132137620747411,2025-04-03
NP15,2025-04-03 15:00:00,12.171048954623984,778.964338065094,2.315447798229685,2025-04-03
NP15,2025-04-03 16:00:00,12.241775264033606,662.0703248940035,2.3696110298571336,2025-04-03
NP15,2025-04-03 17:00:00,12.276648394736752,521.1441979126653,2.5728428169987225,2025-04-03
NP15,2025-04-03 18:00:00,11.562477546296464,339.2718646698217,2.403877757894646,2025-04-03
NP15,2025-04-03 19:00:00,9.392413272658644,146.70647614537015,1.9834700193709391,2025-04-03
NP15,2025-04-03 20:00:00,6.916652329933072,12.201715047092488,1.792901411677948,2025-04-03
NP15,2025-04-03 21:00:00,5.464471848214657,0.0,1.6134744258843443,2025-04-03
NP15,2025-04-03 22:00:00,4.25485862031843,0.0,1.5259641974081828,2025-04-03
NP15,2025-04-03 23:00:00,3.437596161597014,0.0,1.7907995381909334,2025-04-03
NP15,2025-04-04 00:00:00,2.831790990879824,0.0,2.2083474648118973,2025-04-04
NP15,2025-04-04 01:00:00,2.386224881215356,0.0,2.7272282257902907,2025-04-04
NP15,2025-04-04 02:00:00,2.1260668544516648,0.0,3.4693831550063394,2025-04-04
NP15,2025-04-04 03:00:00,1.975912982363127,0.0,4.106258357910395,2025-04-04
NP15,2025-04-04 04:00:00,1.852423623246296,0.0,4.48383805597177,2025-04-04
NP15,2025-04-04 05:00:00,1.7972744580278572,0.0,4.694248446619263,2025-04-04
NP15,2025-04-04 06:00:00,1.78382207000584,0.0,4.832023825649669,2025-04-04
NP15,2025-04-04 07:00:00,1.817444835955996,1.5030539697926075,4.992792824317461,2025-04-04
NP15,2025-04-04 08:00:00,4.212449258009883,99.39356050879798,4.925882738523388,2025-04-04
NP15,2025-04-04 09:00:00,7.576841340082012,304.52784369813486,4.535979154006837,2025-04-04
NP15,2025-04-04 10:00:00,9.816755362921583,514.088603310406,3.880987262673383,2025-04-04
NP15,2025-04-04 11:00:00,11.557320680353255,693.7978001407762,3.875203485390873,2025-04-04
NP15,2025-04-04 12:00:00,12.947516805448345,824.1199369287087,3.735785436418853,2025-04-04
NP15,2025-04-04 13:00:00,14.05977778045525,896.5573281302873,3.6010696313530337,2025-04-04
NP15,2025-04-04 14:00:00,14.81587043296946,905.0276854201986,3.48718825956077,2025-04-04
NP15,2025-04-04 15:00:00,15.230208203302425,848.1673989964794,3.3424581090277607,2025-04-04
NP15,2025-04-04 16:00:00,15.261304104940391,731.765854359559,3.257498874180176,2025-04-04
NP15,2025-04-04 17:00:00,15.189808150350018,565.9855455635612,3.2264584365964826,2025-04-04
NP15,2025-04-04 18:00:00,14.255691234893732,366.9458817215233,3.0696894549983256,2025-04-04
NP15,2025-04-04 19:00:00,11.628703014293365,157.8034412361692,3.2128246905585462,2025-04-04
NP15,2025-04-04 20:00:00,8.978125274866613,13.55218121014225,3.4010901231354373,2025-04-04
NP15,2025-04-04 21:00:00,7.660801617393986,0.0,3.4340634232553056,2025-04-04
NP15,2025-04-04 22:00:00,6.883932178722148,0.0,3.6164152963594254,2025-04-04
NP15,2025-04-04 23:00:00,6.49109809034718,0.0,3.9453514279965503,2025-04-04
NP15,2025-04-05 00:00:00,6.118181335436248,0.0,3.970709153147336,2025-04-05
NP15,2025-04-05 01:00:00,5.6795537309695305,0.0,3.904002986555273,2025-04-05
NP15,2025-04-05 02:00:00,5.215785118581152,0.0,3.832360576873959,2025-04-05
NP15,2025-04-05 03:00:00,4.780069936988184,0.0,3.632873834539709,2025-04-05
NP15,2025-04-05 04:00:00,4.396484543116628,0.0,3.4961278788743093,2025-04-05
NP15,2025-04-05 05:00:00,4.113517274054061,0.0,3.314741913009563,2025-04-05
NP15,2025-04-05 06:00:00,3.818429457456034,0.0,3.0284780364773325,2025-04-05
NP15,2025-04-05 07:00:00,3.6370589069582016,1.9222406556239973,2.9091635217540666,2025-04-05
NP15,2025-04-05 08:00:00,5.986484253157244,93.402435640285,2.730488893963542,2025-04-05
NP15,2025-04-05 09:00:00,9.609604695013502,269.0444659509013,2.383237976152318,2025-04-05
NP15,2025-04-05 10:00:00,12.050141299798668,448.7022940371682,1.262942867082362,2025-04-05
NP15,2025-04-05 11:00:00,13.859093986359936,625.9274283289899,0.6036762737986585,2025-04-05
NP15,2025-04-05 12:00:00,15.348657521184409,764.6371251699256,0.1091939575508029,2025-04-05
NP15,2025-04-05 13:00:00,16.380919030499115,821.0456932635192,0.3334629370270753,2025-04-05
NP15,2025-04-05 14:00:00,17.068157395110063,824.9454153939006,0.5012105504104718,2025-04-05
NP15,2025-04-05 15:00:00,17.451048184117212,768.2872147379009,0.602933433246567,2025-04-05
NP15,2025-04-05 16:00:00,17.43131894719164,652.6695787959711,0.5898049328815347,2025-04-05
NP15,2025-04-05 17:00:00,17.423769142281344,531.7802736135769,0.6686680257852202,2025-04-05
NP15,2025-04-05 18:00:00,16.46012395580192,345.87717760227827,0.7799418486657815,2025-04-05
NP15,2025-04-05 19:00:00,13.745601022118535,153.19565440476768,1.0933447554693274,2025-04-05
NP15,2025-04-05 20:00:00,10.968472824794958,14.05076686238456,1.345515516550651,2025-04-05
NP15,2025-04-05 21:00:00,9.44470782046278,0.0,1.3600331977149986,2025-04-05
NP15,2025-04-05 22:00:00,8.241630580300239,0.0,1.2241737039342235,2025-04-05
NP15,2025-04-05 23:00:00,7.3668408409834,0.0,1.0649975578757356,2025-04-05
NP15,2025-04-06 00:00:00,6.75141407000865,0.0,0.933137855891235,2025-04-06
NP15,2025-04-06 01:00:00,6.30825234832372,0.0,0.7660349171413132,2025-04-06
NP15,2025-04-06 02:00:00,5.8625059566699065,0.0,0.5352808811769656,2025-04-06
NP15,2025-04-06 03:00:00,5.445819894767226,0.0,0.5323423114247884,2025-04-06
NP15,2025-04-06 04:00:00,5.125318445191397,0.0,0.4733668042331214,2025-04-06
NP15,2025-04-06 05:00:00,4.941082979934663,0.0,0.4272993064189908,2025-04-06
NP15,2025-04-06 06:00:00,4.779046245824816,0.0,0.3338810494458195,2025-04-06
NP15,2025-04-06 07:00:00,4.738295565355827,2.370779951827393,0.3965836005471258,2025-04-06
NP15,2025-04-06 08:00:00,7.648387113149397,101.65762520550854,0.5870734195950733,2025-04-06
NP15,2025-04-06 09:00:00,11.522473928983857,297.2601886077494,0.7606488155522615,2025-04-06
NP15,2025-04-06 10:00:00,13.581555175861183,491.377536283125,0.9721334308183768,2025-04-06
NP15,2025-04-06 11:00:00,15.208327229458176,660.5863901336439,1.488434573389718,2025-04-06
NP15,2025-04-06 12:00:00,16.516180914167478,778.5855622430197,2.1318391903069163,2025-04-06
NP15,2025-04-06 13:00:00,17.420332409393495,828.4769845919301,2.725177755119543,2025-04-06
NP15,2025-04-06 14:00:00,17.920356870393846,800.3677987018249,3.292601641186804,2025-04-06
NP15,2025-04-06 15:00:00,18.14449926022064,744.9974259712816,3.747044755979614,2025-04-06
NP15,2025-04-06 16:00:00,17.893157313145537,631.7815528492216,3.9901036621808497,2025-04-06
NP15,2025-04-06 17:00:00,17.390902253017657,493.111657381927,4.287732445077835,2025-04-06
NP15,2025-04-06 18:00:00,16.167162616653627,314.74298832926587,4.1482458032427445,2025-04-06
NP15,2025-04-06 19:00:00,13.849919163708933,133.60993245186492,4.258545172945844,2025-04-06
NP15,2025-04-06 20:00:00,11.557232252272172,11.809818473299964,4.4673034997185415,2025-04-06
NP15,2025-04-06 21:00:00,10.521947210607436,0.0,4.697264310477869,2025-04-06
NP15,2025-04-06 22:00:00,9.815859997350683,0.0,4.88424898572529,2025-04-06
NP15,2025-04-06 23:00:00,9.391059005507827,0.0,4.860569046086147,2025-04-06
NP15,2025-04-07 00:00:00,9.053586176038834,0.0,4.941895531694621,2025-04-07
NP15,2025-04-07 01:00:00,8.784506158822637,0.0,5.084545343881997,2025-04-07
NP15,2025-04-07 02:00:00,8.372058805048255,0.0,4.753151931705948,2025-04-07
NP15,2025-04-07 03:00:00,8.186328436200142,0.0,4.484463685341385,2025-04-07
NP15,2025-04-07 04:00:00,8.10699140967347,0.0,4.170312202855603,2025-04-07
NP15,2025-04-07 05:00:00,8.025840066333899,0.0,3.999671353240776,2025-04-07
NP15,2025-04-07 06:00:00,8.02459568045441,0.0,3.842738918293412,2025-04-07
NP15,2025-04-07 07:00:00,8.125151081593685,1.050103442274655,3.716415326444836,2025-04-07
NP15,2025-04-07 08:00:00,8.710313914234689,31.157030562551483,3.717921551080221,2025-04-07
NP15,2025-04-07 09:00:00,9.579140614519076,104.86841946125756,3.5985263783317407,2025-04-07
NP15,2025-04-07 10:00:00,10.529907539377064,207.1346518305409,3.630875926343044,2025-04-07
